shipment_id,order_id,origin_center_id,origin_city,origin_state,destination_city,destination_state,ship_date,delivery_date,promised_delivery_date,weight_lbs,shipping_cost,carrier_type,delivery_status,delay_reason,customer_type,priority_level
SHP0001,ORD-10001,DC001,Charlotte,NC,Spartanburg,SC,2025-10-02,2025-10-04,2025-10-04,12.5,18.99,Ground,Delivered,,Business,Standard
SHP0002,ORD-10002,DC002,Greenville,SC,Columbia,SC,2025-10-02,2025-10-02,2025-10-03,5,12.49,Ground,DELIVERED,,Residential,Standard
SHP0003,ORD-10003,DC003,Atlanta,GA,Orlando,FL,2025-10-03,2025-10-06,2025-10-05,18lbs,29.95,Air,Late,Weather,Residential,Express
SHP0004,ORD-10004,DC004,Dallas,TX,Memphis,TN,2025-10-03,2025-10-01,2025-10-06,40,55.00,Freight,Delivered,,Business,Standard
SHP0005,ORD-10005,DC005,Newark,NJ,Boston,MA,10/04/2025,10/06/2025,10/06/2025,9.2,22.10,Air ,delivered,,Business,Standard
SHP0006,ORD-10006,DC006,Miami,Florida,New York,NY,2025-10-04,,2025-10-08,15.0,45.50,Air,In Transit,,Residential,Express
SHP0007,ORD-10007,DC007,Chicago,IL,Milwaukee,WI,2025-10-04,2025-10-05,2025-10-05,0,10.00,Ground,Delivered,,Business,Standard
SHP0008,ORD-10008,DC008,Phoenix,AZ,Las Vegas,NV,2025-10-05,2025-10-05,2025-10-06,7.7,-5.99,Ground,Delivered,,Residential,Standard
SHP0009,ORD-10009,DC002,Greenville,S.C.,Charleston,SC,2025-10-05,2025-10-08,2025-10-07,11.1,19.99,Ground,LATE,Driver shortage,Residential,Standard
SHP0010,ORD-10010,DC009,Raleigh,NC,Richmond,VA,2025-10-06,2025-10-07,2025-10-07,6.4,14.25,Ground,Delivered,,Business,Standard
SHP0011,ORD-10011,DC001,Charlotte,NC,Asheville,NC,2025-10-06,2025-10-06,2025-10-06,3.0,9.99,Ground,Delivered,,Residential,Standard
SHP0012,ORD-10012,DC003,Atlanta,GA,Nashville,TN,2025-10-07,2025-10-10,2025-10-09,25.3,38.75,Air,Delayed,Weather,Business,Express
SHP0013,ORD-10013,DC006,Miami,FL,Charlotte,NC,2025-10-07,2025-10-08,2025-10-09,14.2,0,Air,Delivered,,Business,Standard
SHP0014,ORD-10014,DC004,Dallas,TX,Houston,TX,2025-10-08,2025-10-08,2025-10-08,8.1,11.10,Ground,Delivered,,Residential,Standard
SHP0015,ORD-10015,DC005,Newark,NJ,Philadelphia,PA,2025-10-08,2025-10-09,2025-10-09,NaN,13.30,Ground,Delivered,,Residential,Standard
SHP0016,ORD-10016,DC007,Chicago,IL,Detroit,MI,2025-10-09,2025-10-11,2025-10-10,19.9,26.40,Ground,Late,Sort delay,Business,Standard
SHP0017,ORD-10017,DC008,Phoenix,AZ,San Diego,CA,2025-10-09,2025-10-10,2025-10-11,9.0,17.80,Ground,Delivered,,Business,Standard
SHP0018,ORD-10018,DC002,Greenville,SC,Knoxville,TN,2025-10-10,2025-10-10,2025-10-12,4.4,16.00,Air,DELIVERED,,Residential,Express
SHP0019,ORD-10019,DC001,Charlotte,NC,Augusta,GA,2025-10-10,2025-10-13,2025-10-12,6.0,12.00,Ground,In-Transit,,Residential,Standard
